sta      PGA_Z   PGA_X   PGA_Y   PGA_3D  PGA_H  triID        evtID
5AE3E    2.55    1.30    1.00    3.03    1.64   1665429902   1665429882       20221010192442
8DD9B    1.94    0.55    0.68    2.13    0.88   1667949989   1667949984       20221108232623
5AEC4    2.39    0.84    0.73    2.64    1.11   1668908992   1668908982       20221120014941
5AF1E    1.81    0.92    1.03    2.28    1.38   1669484318   1669484284       20221126173804
5AE29    1.72    1.02    0.93    2.21    1.38   1669484318   1669484284       20221126173804
5AFDE    2.84    0.55    0.63    2.96    0.84   1668499617   1668499502       20221115080501
5AFA8    2.95    1.44    2.53    4.15    2.92   1665429902   1665429882       20221010192442
5AE3E    1.27    2.56    2.63    3.88    3.67   1669489826   1669489792       20221126190952
5AE99    1.52    1.73    1.29    2.64    2.16   1658616075   1658616050       20220723224050
5AF1E    2.18    0.94    0.92    2.54    1.31   1662526249   1662526244       20220907045043
5AE50    2.31   19.68   13.99   24.26   24.15   1663478420   1663478360       20220918051919
5AF48    1.98    0.84    0.62    2.24    1.04   1662526249   1662526244       20220907045043
5AE99    1.98    2.08    2.30    3.68    3.10   1668470843   1668470820       20221115000700
5AE50    1.87    0.60    0.73    2.09    0.94   1657437002   1657436992       20220710070952
5AE21   20.68   26.68   29.60   44.90   39.85   1666062022   1666061962       20221018025922
5AE4E    1.27    1.13    1.99    2.62    2.29   1657281482   1657281468       20220708115748
5AF0F    1.85    4.57    1.91    5.28    4.95   1657437013   1657436992       20220710070952
5AE50    4.55    4.10    3.70    7.15    5.52   1663483492   1663483456       20220918064415
5AE0A    2.46    7.94    9.61   12.71   12.47   1663422168   1663422080       20220917134119
5AE11    2.21    0.90    0.77    2.51    1.18   1663471491   1663471478       20220918032437
5AE11    2.21    0.90    0.77    2.51    1.18   1663471491   1663471478       20220918032438
5AFEF    1.49    0.65    0.74    1.78    0.99   1668908992   1668908982       20221120014941
5AE4E    1.83    2.73    2.06    3.88    3.42   1666971066   1666971044       20221028153043
5AF0F    1.69    0.70    0.57    1.92    0.90   1665119566   1665119604       20221007051324
5AE4E    2.81    2.26    3.25    4.85    3.95   1663483492   1663483456       20220918064415
5AE99    1.82    0.70    0.79    2.11    1.06   1667291429   1667291412       20221101083011
5AF0F    1.87    0.67    0.65    2.09    0.93   1667617452   1667617464       20221105030423
5AEBA    1.22    1.70    0.70    2.21    1.84   1668908992   1668908982       20221120014941
5ADEE    2.01    1.44    0.90    2.63    1.70   1669484300   1669484284       20221126173804
5AF0F    1.53    0.59    0.68    1.77    0.90   1658616063   1658616050       20220723224050
5AF48    1.82    0.67    0.62    2.04    0.91   1668908992   1668908982       20221120014941
5AE6F    3.14    9.16   15.34   18.14   17.86   1663422145   1663422080       20220917134119
5AFDE    1.82    0.65    0.64    2.03    0.91   1663570997   1663571016       20220919070336
5AF30    4.28    1.28    0.91    4.56    1.57   1657437012   1657436992       20220710070952
5AE28    1.54    0.63    0.57    1.76    0.85   1670378333   1670378308       20221207015827
5AE1A    1.77    0.62    0.72    2.01    0.95   1657437002   1657436992       20220710070952
5AE82    1.59    2.31    1.94    3.41    3.02   1657281481   1657281468       20220708115748
5AE28    1.67    0.73    0.62    1.92    0.95   1663471491   1663471478       20220918032437
5AE28    1.67    0.73    0.62    1.92    0.95   1663471491   1663471478       20220918032438
5B00B    1.37    1.24    1.11    2.16    1.67   1663483491   1663483456       20220918064415
5AE73    1.65    0.74    0.78    1.96    1.07   1657437002   1657436992       20220710070952
5AE29    2.85   13.11   12.59   18.40   18.18   1663422161   1663422080       20220917134119
5AE11    2.49    1.81    0.97    3.22    2.05   1663483493   1663483456       20220918064415
5AFA8    1.70    2.16    2.24    3.55    3.12   1654567112   1654567074       20220607015754
5AF20    4.89    0.94    0.97    5.08    1.35   1667376980   1667376978       20221102081618
5AEE6    2.26    0.67    0.65    2.45    0.93   1666971053   1666971044       20221028153043
5AFE5    1.57    0.67    0.64    1.82    0.93   1658616063   1658616050       20220723224050
5AFEF    1.67    1.26    1.04    2.34    1.64   1657437012   1657436992       20220710070952
5AF0F    7.31    0.74    1.02    7.42    1.25   1658198386   1658198400       20220719023959
5ADF9    1.63    3.31    1.43    3.95    3.60   1657437012   1657436992       20220710070952
5AF66    2.29    0.63    0.67    2.47    0.92   1666971056   1666971044       20221028153043
5AE83    1.99    8.81    8.31   12.27   12.11   1663422146   1663422080       20220917134119
5B00B    1.15    0.65    0.72    1.50    0.97   1657281474   1657281468       20220708115748
5ADF9    2.67    3.58    2.45    5.09    4.34   1663483493   1663483456       20220918064415
5AE1C    2.06    0.75    0.67    2.29    1.01   1667291429   1667291412       20221101083011
5AE0A    3.21    0.68    0.92    3.41    1.14   1663471491   1663471478       20220918032437
5AE0A    3.21    0.68    0.92    3.41    1.14   1663471491   1663471478       20220918032438
5AF8A    1.47    1.91    1.95    3.10    2.73   1654567112   1654567074       20220607015754
5AEE6    1.47    2.22    2.64    3.75    3.45   1654567112   1654567074       20220607015754
5AE99    3.24    0.78    0.77    3.42    1.09   1655377266   1655377256       20220616110055
5AEAB    1.84   11.73    6.17   13.38   13.25   1663478422   1663478360       20220918051919
5AE99    1.28    0.92    0.75    1.75    1.19   1657437003   1657436992       20220710070952
5AF1E    2.50    1.53    2.06    3.58    2.57   1668470840   1668470820       20221115000700
